stage3,songname,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid,SP,PT,Hid
165,jumping,2,1,0,,,,,,,,,
166,mister,2,1,0,,,,,,,,,
26,hereinthe,2,1,0,,,,,,,,,
31,jupiter,1,1,0,,,,,,,,,
99,lovely,1,1,0,,,,,,,,,
37,melody,1,1,0,,,,,,,,,
43,remember,1,1,0,,,,,,,,,
128,break,1,1,0,,,,,,,,,
66,cozyquilt,2,1,0,,,,,,,,,
14,creator,2,1,0,,,,,,,,,
65,dualstrikers,2,1,0,,,,,,,,,
64,heartofwitch,2,1,0,,,,,,,,,
36,lover,1,1,0,,,,,,,,,
97,rutin,2,1,0,,,,,,,,,
47,stop,2,1,0,,,,,,,,,
82,supersonicrmx,2,1,0,,,,,,,,,
52,voyage,2,1,0,,,,,,,,,
60,@piano,1,1,0,,,,,,,,,
71,beeutiful,2,1,0,,,,,,,,,
126,funkypeople,2,1,0,,,,,,,,,
102,inmydream,2,1,0,,,,,,,,,
32,keystothe,2,1,0,,,,,,,,,
34,landscape,2,1,0,,,,,,,,,
49,sweetshining,1,1,0,,,,,,,,,
51,thelastdance,2,1,0,,,,,,,,,
53,whiteblue,2,1,0,,,,,,,,,
137,feelmabeat,1,1,0,,,,,,,,,
129,hanzup,2,1,0,,,,,,,,,
45,sin,2,1,0,,,,,,,,,
46,sonof,2,1,0,,,,,,,,,
38,miles,1,1,0,,,,,,,,,
8,blythe,2,1,0,,,,,,,,,
123,leaveme,2,1,0,,,,,,,,,
162,ad2222,2,1,0,,,,,,,,,
144,signal,2,1,0,,,,,,,,,
161,bamboo,2,1,0,,,,,,,,,
107,djmax,1,1,1,,,,,,,,,
92,thenightstage,1,1,1,,,,,,,,,
57,@baramegelive,1,1,1,,,,,,,,,
111,luvflowrmx1,1,1,1,,,,,,,,,
93,beyondthe,1,1,1,,,,,,,,,
83,burnitdown,2,1,1,,,,,,,,,
95,darkenvy,2,1,1,,,,,,,,,
113,masairmx1,2,1,1,,,,,,,,,
68,outlawreborn,2,1,1,,,,,,,,,
115,zetrmx1,2,1,1,,,,,,,,,
2,@gobaek2,2,1,1,,,,,,,,,
85,airwave,2,1,1,,,,,,,,,
104,beatudown,2,1,1,,,,,,,,,
72,d2,2,1,1,,,,,,,,,
114,desperadormx1,2,1,1,,,,,,,,,
89,dreamofwinds,2,1,1,,,,,,,,,
112,enemyrmx1,2,1,1,,,,,,,,,
27,hexad,2,1,1,,,,,,,,,
