,0:default,,,
,1:bitmap,,,
0부터차례대로,2:freetype,,,
Index,type,path,name,size
0,2,Resource/config/SDGothicB.ttf,2002_06,6
1,2,Resource/config/SDGothicB.ttf,2002_08,8
2,2,Resource/config/SDGothicB.ttf,2002_10,10
3,2,Resource/config/SDGothicB.ttf,2002_11,11
4,2,Resource/config/SDGothicB.ttf,2002_12,12
5,2,Resource/config/SDGothicB.ttf,2002_13,13
6,2,Resource/config/SDGothicB.ttf,2002_14,14
7,2,Resource/config/SDGothicB.ttf,2002_15,15
8,2,Resource/config/SDGothicB.ttf,2002_16,16
9,2,Resource/config/SDGothicB.ttf,2002_17,17
10,2,Resource/config/SDGothicB.ttf,2002_20,20
11,2,Resource/config/SDGothicB.ttf,2002_25,25
12,2,Resource/config/SDGothicB.ttf,2002_27,27
13,2,Resource/config/SDGothicB.ttf,2002_30,30
14,2,Resource/config/SDGothicB.ttf,2002_35,35
15,2,Resource/config/SDGothicB.ttf,2002_40,40
16,2,Resource/config/SDGothicB.ttf,2002_50,50
17,2,Resource/config/SDGothicB.ttf,2002_07,7
18,2,Resource/config/SDGothicB.ttf,2002_09,9
19,2,Resource/config/SDGothicB.ttf,2002_18,18
20,2,Resource/config/SDGothicB.ttf,2002_19,19
21,2,Resource/config/SDGothicB.ttf,2002_21,21
22,2,Resource/config/SDGothicB.ttf,2002_22,22
23,2,Resource/config/SDGothicB.ttf,2002_23,23
24,2,Resource/config/SDGothicB.ttf,2002_24,24
25,2,Resource/config/SDGothicB.ttf,2002_26,26
26,2,Resource/config/SDGothicB.ttf,2002_28,28
27,2,Resource/config/SDGothicB.ttf,2002_29,29
28,2,Resource/config/SDGothicB.ttf,2002_31,31
29,2,Resource/config/SDGothicB.ttf,2002_32,32
30,2,Resource/config/SDGothicB.ttf,2002_33,33
31,2,Resource/config/SDGothicB.ttf,2002_34,34
